key,product_code,description,step_name,machine,start_time,end_time,duration_min,machine_group,machine_prefix,machine_num,log_duration
yJSxQcSrwBBLHW61anUHg8,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,6/3/2024 12:30:00,6/3/2024 13:30:00,60.0,BKM,BKM,11,4.110873864173311
VJFCAroyx0yUEpn3Go78le,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part A),BKM-11,6/4/2024 6:30:00,6/4/2024 11:30:00,300.0,BKM,BKM,11,5.707110264748875
xGFeYJc2pFYl9Y3IO3ETiV,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,6/4/2024 11:30:00,6/4/2024 12:30:00,60.0,BKM,BKM,11,4.110873864173311
DVAjnX9RNN1JlLuw9IQMyL,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Premix,HSM-1,6/7/2024 12:00:00,6/7/2024 12:15:00,15.0,HSM,HSM,1,2.772588722239781
gdqehBaukjwaLSzfyO2eWZ,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part A),BKM-11,6/7/2024 13:30:00,6/7/2024 15:30:00,120.0,BKM,BKM,11,4.795790545596741
30MYa01klKY6u4nSV3MdQW,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part A),BKM-11,6/8/2024 6:30:00,6/8/2024 7:30:00,60.0,BKM,BKM,11,4.110873864173311
jZGtHsqbEwk7OiFtMnIj05,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,6/8/2024 7:30:00,6/8/2024 9:30:00,120.0,BKM,BKM,11,4.795790545596741
gx41zhyAOUiwLOT2lLGFbX,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,FG Transfer,BKM-11,6/8/2024 9:03:00,6/8/2024 9:19:00,16.0,BKM,BKM,11,2.833213344056216
TOecZJUuvlq2nMS26BtSkg,RM2-ACX-60,DAVIES ACREEX BLACK,FG Transfer,BKM-5,6/7/2024 7:05:00,6/7/2024 7:08:00,3.0,BKM,BKM,5,1.3862943611198906
8SVF3CkcO7QeYCTBPz2WcO,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,PMX-2,6/5/2024 15:00:00,6/5/2024 15:35:00,35.0,PMX,PMX,2,3.58351893845611
L1t1yZujWNIe74uJRRcDNP,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,PMX-2,6/5/2024 15:40:00,6/5/2024 16:00:00,20.0,PMX,PMX,2,3.044522437723423
LNIGhK1dSOXGnCAKu0ayg3,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part B),PMX-2,6/5/2024 16:00:00,6/5/2024 17:35:00,95.0,PMX,PMX,2,4.564348191467836
